,Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy
45,abject,6,505,6.22,692.67,3.1073446327683616,162.77,9.0,0.28
46,ablaze,6,154,5.04,740.73,3.333333333333334,175.11,22.0,0.65
47,able,4,176528,12.08,623.3,1.4971751412429382,214.58,33.0,1.0
48,ably,4,256,5.55,796.14,3.3050847457627124,297.96,14.0,0.42
49,abnormal,8,2204,7.7,684.91,2.3728813559322037,234.31,33.0,1.0
50,abnormalities,13,644,6.47,898.37,3.6440677966101696,266.69,30.0,0.91
51,abnormality,11,291,5.67,781.44,2.994350282485876,273.6,34.0,1.0
52,abnormally,10,372,5.92,843.26,2.9661016949152548,402.4,31.0,0.97
53,aboard,6,3721,8.22,628.16,1.4406779661016953,220.02,31.0,0.94
54,abode,5,486,6.19,855.83,3.6723163841807915,332.04,30.0,0.88
55,abolish,7,1606,7.38,703.22,2.175141242937854,229.56,32.0,0.97
56,abolished,9,1458,7.28,664.63,1.8926553672316389,223.12,32.0,0.97
57,abolition,9,827,6.72,834.33,3.1355932203389836,342.42,30.0,0.91
58,abolitionist,12,134,4.9,982.89,4.7175141242937855,310.02,28.0,0.9
59,abolitionists,13,100,4.61,1010.97,5.112994350282487,280.61,30.0,0.97
60,abominable,10,473,6.16,829.07,3.6723163841807915,373.99,28.0,0.93
61,abominate,9,3,1.1,888.59,4.350282485875707,268.72,27.0,0.82
62,aboriginal,10,1459,7.29,916.73,4.689265536723164,264.9,22.0,0.67
63,aborigine,9,71,4.26,933.6,4.971751412429379,319.68,10.0,0.31
64,aborigines,10,511,6.24,977.36,4.971751412429379,238.69,22.0,0.69
65,abort,5,2778,7.93,672.48,1.7514124293785316,235.69,31.0,0.97
66,abortion,8,16764,9.73,686.45,2.0056497175141246,245.73,33.0,0.97
67,abortionist,11,206,5.33,833.82,3.2485875706214697,243.54,34.0,0.97
68,abortions,9,3768,8.23,774.63,2.344632768361582,212.35,30.0,0.97
69,abortive,8,213,5.36,881.08,3.3050847457627124,454.68,26.0,0.79
70,abound,6,1065,6.97,768.9,2.711864406779662,324.78,30.0,0.91
71,abounded,8,78,4.36,832.31,3.3898305084745766,433.81,29.0,0.88
72,abounding,9,100,4.61,884.52,3.7005649717514126,417.12,31.0,0.91
73,abounds,7,314,5.75,678.9,2.1186440677966107,212.35,31.0,0.89
74,about,5,1307019,14.08,628.19,1.3276836158192094,167.99,31.0,0.94
75,above,5,177919,12.09,564.33,0.5084745762711868,162.03,33.0,0.94
76,aboveground,11,19,2.94,830.65,3.4463276836158196,187.02,31.0,0.94
77,abracadabra,11,73,4.29,889.25,5.0,285.97,20.0,0.65
78,Abraham,7,3824,8.25,782.84,2.514124293785311,269.09,32.0,1.0
79,abrasion,8,250,5.52,807.35,3.1355932203389836,242.71,26.0,0.79
80,abrasive,8,576,6.36,710.59,2.203389830508475,187.55,32.0,0.94
81,abreast,7,491,6.2,846.48,4.067796610169491,331.99,31.0,0.94
82,abridged,8,797,6.68,927.29,3.587570621468927,441.94,31.0,0.91
83,abridgment,10,42,3.74,1152.61,5.36723163841808,484.35,18.0,0.6
84,abroad,6,5984,8.7,654.69,1.4689265536723166,184.99,32.0,0.97
85,abrogate,8,100,4.61,798.58,4.943502824858758,104.22,12.0,0.38
86,abrogated,9,128,4.85,818.53,3.813559322033899,197.03,15.0,0.47
87,abrupt,6,719,6.58,690.97,2.3728813559322037,165.98,34.0,1.0
88,abruptly,8,1230,7.11,701.21,2.5706214689265536,172.03,33.0,0.97
89,abruptness,10,23,3.14,817.68,3.84180790960452,234.22,28.0,0.82
90,abscess,7,96,4.56,1033.5,5.790960451977401,445.44,18.0,0.58
91,abscesses,9,109,4.69,1061.21,5.903954802259888,348.18,19.0,0.68
92,abscissa,8,18,2.89,953.15,5.084745762711865,338.62,13.0,0.41
93,abscond,7,17,2.83,774.11,4.435028248587571,119.0,9.0,0.26
94,absence,7,7304,8.9,687.0,1.7796610169491527,404.05,32.0,0.97
95,absences,8,143,4.96,812.12,2.6553672316384187,440.99,34.0,0.97
96,absent,6,3019,8.01,665.32,1.7514124293785316,260.97,34.0,1.0
97,absented,8,4,1.39,794.58,2.711864406779662,325.3,26.0,0.84
98,absentee,8,152,5.02,886.79,3.813559322033899,375.03,28.0,0.85
99,absenteeism,11,78,4.36,963.42,5.197740112994351,324.59,19.0,0.59
100,absently,8,190,5.25,648.1,1.7796610169491527,245.67,30.0,0.94
101,absentmindedly,14,49,3.89,1038.53,6.016949152542374,305.67,19.0,0.66
102,absinth,7,8,2.08,744.5,5.254237288135593,91.22,2.0,0.07
103,absolute,8,16840,9.73,707.03,1.9491525423728817,202.54,34.0,1.0
104,absolutely,10,36965,10.52,667.0,1.6384180790960456,212.49,35.0,1.0
105,absoluteness,12,23,3.14,888.84,3.3898305084745766,379.42,31.0,0.97
106,absolutes,9,587,6.38,826.7,2.9661016949152548,321.53,33.0,0.94
107,absolution,10,140,4.94,842.88,3.7288135593220337,251.67,24.0,0.8
108,absolutism,10,197,5.28,934.96,4.265536723163842,361.28,27.0,0.82
109,absolve,7,223,5.41,730.12,2.3728813559322037,184.71,25.0,0.76
110,absorb,6,2787,7.93,633.78,1.3841807909604522,201.42,32.0,0.97
111,absorbed,8,2954,7.99,735.41,2.2316384180790965,311.38,32.0,0.97
112,absorbency,10,82,4.41,955.82,4.40677966101695,409.63,28.0,0.85
113,absorbent,9,193,5.26,793.73,3.2485875706214697,252.35,30.0,0.91
114,absorber,8,143,4.96,794.7,3.3615819209039555,240.48,30.0,0.86
115,absorbing,9,933,6.84,747.06,2.68361581920904,264.97,32.0,0.97
116,absorbs,7,619,6.43,675.0,1.5819209039548028,186.33,34.0,1.0
117,absorption,10,1735,7.46,825.69,3.6158192090395485,273.87,29.0,0.88
118,absorptions,11,11,2.4,841.13,3.7853107344632777,248.26,32.0,1.0
119,absorptive,10,32,3.47,873.88,4.435028248587571,347.87,17.0,0.57
120,abstain,7,960,6.87,729.5,2.740112994350283,212.02,28.0,0.88
121,abstaining,10,190,5.25,861.88,3.6440677966101696,236.4,32.0,0.97
122,abstention,10,72,4.28,985.39,5.0,366.01,18.0,0.69
123,abstinence,10,983,6.89,884.38,3.3898305084745766,278.31,29.0,0.91
124,abstinent,9,73,4.29,968.9,4.971751412429379,325.55,21.0,0.7
125,abstract,8,8606,9.06,667.91,1.7796610169491527,215.28,33.0,0.97
126,abstracted,10,261,5.56,790.52,2.8531073446327686,233.85,33.0,1.0
127,abstractedness,14,2,0.69,1073.32,5.621468926553672,358.42,28.0,0.97
128,abstracting,11,113,4.73,875.26,3.2203389830508478,385.21,31.0,0.97
129,abstraction,11,1596,7.38,820.06,2.994350282485876,317.43,32.0,1.0
130,abstractionism,14,1,0.0,1100.0,5.536723163841808,528.15,30.0,0.94
131,abstractionists,15,3,1.1,1187.81,6.779661016949153,384.27,27.0,0.93
132,abstractions,12,512,6.24,864.34,3.1638418079096047,263.64,29.0,0.94
133,abstractive,11,7,1.95,972.32,4.915254237288136,320.46,28.0,0.85
134,abstractly,10,143,4.96,806.33,2.8248587570621475,280.45,33.0,0.97
135,abstractors,11,0,0.0,942.86,4.237288135593221,389.84,28.0,0.88
136,abstracts,9,4089,8.32,766.5,2.3728813559322037,388.85,32.0,1.0
137,abstruse,8,157,5.06,1042.6,5.423728813559324,377.88,15.0,0.45
138,absurd,6,4985,8.51,736.57,2.288135593220339,225.95,30.0,0.94
139,absurdities,11,300,5.7,928.44,4.435028248587571,398.28,25.0,0.78
140,absurdity,9,1084,6.99,860.47,3.531073446327684,320.24,32.0,0.94
141,absurdly,8,316,5.76,808.72,3.1355932203389836,303.65,29.0,0.88
142,abundance,9,1825,7.51,698.73,2.146892655367232,209.47,33.0,0.97
143,abundant,8,1381,7.23,660.75,1.9491525423728817,187.74,32.0,0.97
144,abuse,5,25915,10.16,608.69,0.9322033898305091,201.09,32.0,0.97
145,abused,6,6038,8.71,620.94,1.4971751412429382,163.75,31.0,0.97
146,abuses,6,3312,8.11,632.58,1.610169491525424,155.19,33.0,0.97
147,abusive,7,3526,8.17,799.24,2.5988700564971756,363.78,33.0,0.97
148,abut,4,259,5.56,1072.33,5.197740112994351,171.91,3.0,0.09
149,abutment,8,19,2.94,1089.5,6.016949152542374,442.43,6.0,0.19
150,abutments,9,18,2.89,1164.25,7.005649717514125,277.98,4.0,0.12
151,abysmal,7,619,6.43,714.58,2.6271186440677967,218.49,12.0,0.35
152,abyss,5,4219,8.35,651.44,1.9491525423728817,153.51,25.0,0.76
153,acacia,6,213,5.36,1013.5,3.813559322033899,457.5,2.0,0.06
154,academic,8,17622,9.78,716.91,2.0056497175141246,227.88,32.0,0.97
155,academically,12,725,6.59,868.61,3.9265536723163845,233.76,31.0,0.97
156,academicianship,15,1,0.0,1150.45,6.610169491525424,395.78,11.0,0.48
157,academics,9,1817,7.5,682.52,1.7231638418079098,254.12,31.0,0.97
158,academies,9,967,6.87,794.96,2.8813559322033906,408.04,24.0,0.8
159,academy,7,12050,9.4,630.97,1.5819209039548028,190.44,33.0,1.0
160,Acadia,6,305,5.72,959.62,4.463276836158193,299.51,13.0,0.39
161,Acapulco,8,180,5.19,927.84,3.7005649717514126,414.24,25.0,0.76
162,accede,6,149,5.0,967.25,4.2090395480225995,512.91,12.0,0.43
163,acceded,7,62,4.13,880.11,3.5028248587570627,312.75,18.0,0.56
164,accelerando,11,7,1.95,1069.4,5.903954802259888,609.99,5.0,0.16
165,accelerate,10,2368,7.77,710.85,2.3163841807909606,228.69,34.0,0.97
166,accelerated,11,3367,8.12,741.56,2.5423728813559325,255.87,32.0,0.94
167,accelerating,12,1037,6.94,832.61,3.3898305084745766,344.93,31.0,0.94
168,acceleration,12,4203,8.34,712.16,2.203389830508475,268.17,32.0,0.91
169,accelerations,13,169,5.13,828.49,3.531073446327684,320.23,35.0,1.0
170,accelerator,11,5152,8.55,838.23,2.711864406779662,362.25,35.0,1.0
171,accelerators,12,1466,7.29,791.89,3.2203389830508478,254.91,28.0,0.97
172,accelerometer,13,70,4.25,1130.87,5.649717514124294,604.18,15.0,0.56
173,accelerometers,14,63,4.14,1029.23,6.101694915254238,295.8,13.0,0.52
174,accent,6,5213,8.56,674.97,1.5254237288135597,283.59,33.0,1.0
175,accented,8,1182,7.07,642.73,1.7231638418079098,150.5,30.0,0.91
176,accenting,9,54,3.99,819.32,2.740112994350283,300.07,31.0,0.94
177,accents,7,1796,7.49,641.22,1.2711864406779667,163.73,32.0,0.94
178,accentual,9,1,0.0,865.0,3.5028248587570627,294.39,25.0,0.81
179,accentuate,10,161,5.08,765.43,3.5593220338983054,264.27,30.0,0.91
180,accentuated,11,193,5.26,938.72,4.124293785310734,343.29,29.0,0.88
181,accentuates,11,57,4.04,995.73,4.7175141242937855,461.95,22.0,0.73
182,accept,6,49430,10.81,556.39,0.48022598870056526,269.94,33.0,0.97
183,acceptable,10,16372,9.7,661.06,1.6949152542372885,183.3,33.0,0.97
184,acceptance,10,8774,9.08,660.75,1.9774011299435033,236.56,32.0,0.97
185,accepted,8,33901,10.43,597.79,1.1016949152542377,133.54,33.0,0.94
186,accepting,9,7649,8.94,630.55,1.3841807909604522,154.72,33.0,1.0
187,accepts,7,4586,8.43,735.67,1.8644067796610175,316.72,30.0,0.94
188,access,6,172256,12.06,677.79,1.5819209039548028,271.44,33.0,0.97
189,accesses,8,2369,7.77,749.39,2.5423728813559325,216.13,31.0,0.97
190,accessible,10,10758,9.28,709.22,1.8361581920903958,321.75,32.0,1.0
191,accessions,10,48,3.87,919.41,4.265536723163842,335.02,27.0,0.87
192,accessories,11,5737,8.65,704.88,2.033898305084746,255.98,33.0,1.0
193,accessors,9,173,5.15,912.17,3.1638418079096047,507.75,23.0,0.72
194,accessory,9,1342,7.2,687.36,1.9774011299435033,194.15,33.0,0.97
195,accident,8,11152,9.32,621.78,1.186440677966102,210.39,32.0,0.97
196,accidental,10,2346,7.76,691.0,2.3163841807909606,214.29,33.0,0.97
197,accidentally,12,4432,8.4,704.6,2.344632768361582,234.04,35.0,1.0
198,accidents,9,4163,8.33,632.74,1.5819209039548028,204.38,34.0,1.0
199,acclaim,7,889,6.79,828.19,2.7683615819209044,367.1,32.0,0.94
200,acclaimed,9,1049,6.96,694.97,2.3163841807909606,171.48,30.0,0.97
201,acclaims,8,7,1.95,801.13,2.4011299435028253,349.42,30.0,0.91
202,acclamation,11,26,3.26,816.0,3.7288135593220337,272.44,23.0,0.77
203,acclimate,9,97,4.57,863.13,3.9830508474576276,356.33,24.0,0.77
204,acclimatized,12,17,2.83,1205.63,6.779661016949153,481.51,16.0,0.48
205,accolade,8,703,6.56,960.35,4.858757062146893,441.56,17.0,0.55
206,accolades,9,227,5.42,899.06,3.954802259887006,405.83,18.0,0.53
207,accommodate,11,2454,7.81,726.15,2.4858757062146895,196.9,34.0,1.0
208,accommodated,12,301,5.71,705.59,2.514124293785311,224.03,34.0,1.0
209,accommodates,12,136,4.91,756.63,2.4858757062146895,224.15,32.0,0.94
210,accommodating,13,447,6.1,760.45,2.8248587570621475,212.84,29.0,0.97
211,accommodation,13,2006,7.6,864.83,3.1073446327683616,330.98,35.0,0.97
212,accommodations,14,1434,7.27,770.88,2.9661016949152548,245.32,34.0,1.0
213,accompanied,11,4441,8.4,787.09,2.8813559322033906,254.65,32.0,0.97
214,accompanies,11,722,6.58,803.45,2.937853107344633,355.4,29.0,0.91
215,accompaniment,13,711,6.57,728.36,3.1638418079096047,284.87,22.0,0.92
216,accompaniments,14,36,3.58,1015.39,5.282485875706215,343.96,23.0,0.88
217,accompanist,11,156,5.05,817.18,3.9830508474576276,271.21,28.0,0.93
218,accompanists,12,73,4.29,886.08,4.463276836158193,342.92,24.0,0.89
219,accompany,9,2138,7.67,725.84,2.288135593220339,279.75,32.0,0.91
220,accompanying,12,2991,8.0,899.42,3.6440677966101696,402.95,31.0,0.94
221,accomplice,10,281,5.64,784.33,2.740112994350283,310.5,33.0,0.97
222,accomplices,11,220,5.39,940.52,4.576271186440678,390.2,31.0,0.94
223,accomplish,10,7794,8.96,773.12,2.259887005649718,321.47,33.0,0.97
224,accomplished,12,6982,8.85,726.79,2.203389830508475,272.59,33.0,1.0
225,accomplishes,12,592,6.38,862.14,3.898305084745763,252.67,29.0,1.0
226,accomplishing,13,704,6.56,708.63,2.4858757062146895,213.01,32.0,0.94
227,accomplishment,14,1301,7.17,803.06,3.0225988700564974,324.4,32.0,0.97
228,accomplishments,15,1990,7.6,776.33,2.9661016949152548,230.25,27.0,0.93
229,accord,6,3524,8.17,683.71,1.8361581920903958,191.93,31.0,0.97
230,accordance,10,4854,8.49,767.24,2.6553672316384187,276.87,33.0,1.0
231,accorded,8,563,6.33,763.74,2.937853107344633,319.68,31.0,0.97
232,according,9,64745,11.08,707.18,1.6384180790960456,303.17,33.0,1.0
233,accordingly,11,5108,8.54,736.58,2.4011299435028253,306.32,33.0,0.97
234,accordion,9,590,6.38,930.2,4.03954802259887,306.87,25.0,0.76
235,accords,7,974,6.88,680.44,1.9491525423728817,202.43,34.0,1.0
236,accost,6,31,3.43,806.81,3.2203389830508478,309.77,26.0,0.76
237,accosted,8,168,5.12,796.65,3.6440677966101696,324.27,20.0,0.59
238,accosting,9,24,3.18,838.54,3.587570621468927,261.31,24.0,0.73
239,account,7,60958,11.02,619.38,0.9887005649717517,162.14,34.0,1.0
240,accountability,14,1478,7.3,821.21,3.3898305084745766,287.15,34.0,1.0
241,accountable,11,2339,7.76,729.33,2.3728813559322037,243.87,33.0,0.97
242,accountant,10,1527,7.33,817.19,3.050847457627119,386.31,32.0,0.94
243,accountants,11,1506,7.32,742.86,2.288135593220339,206.57,35.0,1.0
244,accounted,9,1502,7.31,664.83,1.6949152542372885,185.4,35.0,1.0
245,accounting,10,15754,9.66,632.09,1.6949152542372885,119.87,34.0,1.0
246,accounts,8,18019,9.8,644.92,1.2146892655367236,222.78,36.0,1.0
247,accredit,8,35,3.56,839.71,3.7570621468926557,406.21,24.0,0.71
248,accreditation,13,561,6.33,975.0,4.632768361581921,327.95,31.0,0.97
249,accredited,10,1049,6.96,773.91,3.1073446327683616,345.52,32.0,0.97
250,accrue,6,611,6.42,704.89,2.711864406779662,186.64,19.0,0.56
251,accrued,7,230,5.44,851.08,3.5028248587570627,322.62,24.0,0.73
252,accrues,7,63,4.14,917.33,4.011299435028249,488.23,15.0,0.45
253,accruing,8,155,5.04,897.14,4.096045197740113,270.69,21.0,0.64
254,acculturated,12,24,3.18,1061.47,6.101694915254238,405.72,19.0,0.76
255,acculturation,13,35,3.56,1047.95,5.141242937853107,285.38,19.0,0.7
256,accumulate,10,1392,7.24,734.09,2.2316384180790965,285.07,34.0,1.0
257,accumulated,11,2137,7.67,748.26,2.5423728813559325,218.34,34.0,1.0
258,accumulates,11,249,5.52,749.78,2.344632768361582,223.88,32.0,0.97
259,accumulating,12,553,6.32,776.41,2.7683615819209044,310.74,34.0,1.0
260,accumulation,12,1206,7.1,859.88,2.994350282485876,346.8,33.0,0.97
261,accuracy,8,10534,9.26,615.97,1.186440677966102,187.05,33.0,1.0
262,accurate,8,21492,9.98,728.24,2.288135593220339,286.27,33.0,1.0
263,accurately,10,5396,8.59,807.22,2.8813559322033906,407.42,32.0,0.94
264,accurst,7,4,1.39,914.9,3.6440677966101696,388.72,10.0,0.29
265,accusation,10,2176,7.69,819.06,3.3615819209039555,215.34,32.0,0.97
266,accusations,11,3477,8.15,763.73,2.740112994350283,301.82,30.0,0.91
267,accusative,10,103,4.63,1071.37,5.254237288135593,536.54,19.0,0.63
268,accuse,6,3798,8.24,626.36,1.4406779661016953,180.47,33.0,1.0
269,accused,7,9093,9.12,661.97,1.5819209039548028,202.39,32.0,0.97
270,accuses,7,809,6.7,758.7,2.5988700564971756,217.71,30.0,0.94
271,accusing,8,2296,7.74,743.55,2.429378531073447,271.41,33.0,1.0
272,accusingly,10,39,3.66,809.74,3.3050847457627124,257.77,31.0,0.94
273,accustom,8,75,4.32,751.48,2.937853107344633,204.72,25.0,0.83
274,accustomed,10,1691,7.43,735.72,2.429378531073447,168.83,32.0,1.0
275,ace,3,6967,8.85,579.03,1.186440677966102,126.87,34.0,1.0
276,acerbic,7,76,4.33,829.89,4.435028248587571,268.01,9.0,0.28
277,aces,4,1837,7.52,768.94,2.68361581920904,310.0,31.0,0.91
278,acetate,7,547,6.3,856.65,4.096045197740113,251.46,26.0,0.76
279,acetone,7,423,6.05,793.04,3.0225988700564974,249.36,24.0,0.73
280,acetylene,9,82,4.41,1084.0,5.169491525423729,366.87,17.0,0.52
281,ache,4,846,6.74,631.66,1.4971751412429382,163.52,29.0,0.91
282,ached,5,296,5.69,797.04,3.0225988700564974,303.88,28.0,0.88
283,aches,5,419,6.04,683.77,1.9774011299435033,313.22,31.0,0.91
284,achieve,7,15544,9.65,702.82,1.5254237288135597,264.47,33.0,0.97
285,achieved,8,8305,9.02,700.09,2.0056497175141246,276.35,32.0,0.97
286,achievement,11,3925,8.28,746.68,2.3163841807909606,308.75,34.0,1.0
287,achievements,12,2085,7.64,700.36,2.288135593220339,171.26,33.0,1.0
288,achieves,8,762,6.64,757.23,2.711864406779662,299.65,31.0,0.91
289,achieving,9,3180,8.06,657.17,2.146892655367232,221.0,30.0,0.94
290,Achilles,8,688,6.53,751.19,3.3615819209039555,172.15,26.0,0.81
291,aching,6,1099,7.0,799.6,2.5988700564971756,362.43,30.0,0.91
292,acid,4,13610,9.52,615.69,1.299435028248588,223.81,32.0,0.97
293,acidic,6,809,6.7,753.85,2.8531073446327686,127.23,26.0,0.76
294,acidity,7,256,5.55,738.67,2.6553672316384187,232.28,27.0,0.82
295,acids,5,2326,7.75,636.75,1.7231638418079098,196.23,32.0,0.91
296,acknowledge,11,6783,8.82,771.38,2.4858757062146895,396.39,32.0,0.97
297,acknowledged,12,3936,8.28,810.85,3.1638418079096047,278.23,34.0,1.0
298,acknowledgement,15,1823,7.51,735.76,3.1920903954802267,230.55,29.0,0.88
299,acknowledges,12,1067,6.97,951.52,4.632768361581921,340.44,33.0,0.94
300,acknowledging,13,1216,7.1,857.81,3.587570621468927,331.74,32.0,0.97
301,acknowledgment,14,948,6.85,850.67,3.7005649717514126,361.37,33.0,1.0
302,acknowledgments,15,409,6.01,917.36,3.7288135593220337,415.6,28.0,0.9
303,acme,4,911,6.81,772.0,2.288135593220339,335.82,28.0,0.85
304,acne,4,536,6.28,627.94,1.355932203389831,142.24,32.0,0.94
305,acolyte,7,444,6.1,731.18,3.050847457627119,143.32,11.0,0.35
306,acorn,5,8301,9.02,721.96,2.2316384180790965,232.61,27.0,0.79
307,acorns,6,359,5.88,735.07,2.7683615819209044,245.97,30.0,0.88
308,acoustic,8,5401,8.59,793.44,3.4463276836158196,301.39,32.0,0.97
309,acoustical,10,270,5.6,855.69,4.293785310734464,259.47,29.0,0.94
310,acoustically,12,157,5.06,988.35,4.7740112994350286,411.05,26.0,0.87
311,acoustics,9,1240,7.12,789.03,2.8531073446327686,260.92,30.0,0.91
312,acquaint,8,167,5.12,858.73,3.1638418079096047,286.94,30.0,0.94
313,acquaintance,12,1275,7.15,807.45,3.1355932203389836,264.89,31.0,1.0
314,acquainted,10,1022,6.93,796.61,2.8248587570621475,379.64,33.0,0.97
315,acquiesce,9,108,4.68,881.84,4.378531073446328,224.3,19.0,0.59
316,acquiesced,10,111,4.71,934.5,4.632768361581921,337.45,12.0,0.4
317,acquiescence,12,91,4.51,927.75,4.350282485875707,304.04,24.0,0.75
318,acquiescent,11,19,2.94,714.0,2.8813559322033906,200.33,17.0,0.57
319,acquire,7,6529,8.78,673.94,2.0621468926553677,219.41,33.0,0.94
320,acquired,8,6388,8.76,710.0,2.4011299435028253,252.3,32.0,0.97
321,acquires,8,460,6.13,748.42,2.0621468926553677,252.53,33.0,0.97
322,acquiring,9,1952,7.58,731.74,2.4858757062146895,154.27,31.0,0.91
323,acquisition,11,5006,8.52,785.59,2.9096045197740117,206.61,32.0,0.94
324,acquisitions,12,1098,7.0,779.12,3.276836158192091,252.61,33.0,0.97
325,acquisitive,11,40,3.69,908.64,4.576271186440678,317.37,28.0,0.93
326,acquisitiveness,15,4,1.39,1216.81,5.508474576271187,487.33,16.0,0.64
327,acquit,6,100,4.61,832.44,3.7005649717514126,279.25,25.0,0.86
328,acquittal,9,249,5.52,905.54,4.011299435028249,321.68,26.0,0.81
329,acquitted,9,608,6.41,802.06,3.3615819209039555,307.03,33.0,1.0
330,acre,4,1554,7.35,723.0,2.344632768361582,183.57,32.0,0.97
331,acreage,7,231,5.44,1018.0,6.15819209039548,420.15,6.0,0.19
332,acres,5,3930,8.28,679.03,2.090395480225989,172.46,33.0,0.97
333,acrid,5,111,4.71,762.29,3.3898305084745766,290.2,17.0,0.52
334,acrimonious,11,113,4.73,1115.45,5.649717514124294,426.13,11.0,0.33
335,acrimony,8,89,4.49,784.5,3.5028248587570627,222.5,12.0,0.36
336,acrobat,7,2449,7.8,755.88,2.4576271186440684,293.13,33.0,0.97
337,acrobatic,9,167,5.12,832.78,3.5028248587570627,313.76,32.0,0.97
338,acrobatics,10,401,5.99,958.93,4.293785310734464,436.04,30.0,0.94
339,acrobats,8,66,4.19,715.18,2.4011299435028253,234.64,33.0,1.0
340,acronym,7,1966,7.58,831.33,3.6440677966101696,248.16,27.0,0.79
341,Acropolis,9,109,4.69,905.0,3.7853107344632777,320.57,25.0,0.78
342,across,6,62336,11.04,589.47,1.2711864406779667,196.12,34.0,1.0
343,acrylic,7,844,6.74,782.81,3.0225988700564974,255.78,32.0,0.97
344,act,3,72216,11.19,635.18,1.3276836158192094,284.1,33.0,1.0
345,acted,5,4894,8.5,652.76,1.5819209039548028,201.46,33.0,0.97
346,acting,6,16012,9.68,584.81,0.875706214689266,140.15,32.0,0.97
347,action,6,77756,11.26,564.13,0.6497175141242939,148.68,32.0,1.0
348,actions,7,29726,10.3,643.75,1.4124293785310738,260.29,32.0,1.0
349,activate,8,3486,8.16,657.35,1.6384180790960456,195.9,34.0,0.97
350,activated,9,3246,8.09,752.13,2.259887005649718,368.86,32.0,1.0
